PassengerId,Survived,Sex,Age,SibSp,Parch,Fare,Family Size,Pclass_1,Pclass_2,Pclass_3,Embarked_C,Embarked_Q,Embarked_S
1,0,1,-0.5303766406838785,0.4327933656785018,-0.4736736092984604,-0.5024451714361923,0.059159876663617626,0,0,1,0,0,1
2,1,0,0.571830994003175,0.4327933656785018,-0.4736736092984604,0.7868452935884461,0.059159876663617626,1,0,0,1,0,0
3,1,0,-0.25482473201211503,-0.47454519624983954,-0.4736736092984604,-0.4888542575852486,-0.5609748304808925,0,0,1,0,0,1
4,1,0,0.36516706249935255,0.4327933656785018,-0.4736736092984604,0.4207302360686478,0.059159876663617626,1,0,0,0,0,1
5,0,1,0.36516706249935255,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,-0.5609748304808925,0,0,1,0,0,1
7,0,1,1.6740386286902287,-0.47454519624983954,-0.4736736092984604,0.395813560675251,-0.5609748304808925,1,0,0,0,0,1
8,0,1,-1.9081361840426954,2.2474704895351842,0.7676298785983874,-0.22408312108167944,1.9195639980971482,0,0,1,0,0,1
9,1,0,-0.1859367548441742,-0.47454519624983954,2.0089333664952354,-0.4242561406845337,0.6792945838081278,0,0,1,0,0,1
10,1,0,-1.0814804580274051,0.4327933656785018,-0.4736736092984604,-0.04295550208861426,0.059159876663617626,0,1,0,1,0,0
11,1,0,-1.7703602297068137,0.4327933656785018,0.7676298785983874,-0.312172377522981,0.6792945838081278,0,0,1,0,0,1
12,1,0,1.949590537361992,-0.47454519624983954,-0.4736736092984604,-0.11384570873513637,-0.5609748304808925,1,0,0,0,0,1
13,0,1,-0.6681525950197601,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,-0.5609748304808925,0,0,1,0,0,1
14,0,1,0.6407189711711159,0.4327933656785018,5.73284383018578,-0.01870931177853076,3.1598334123861687,0,0,1,0,0,1
15,0,0,-1.0814804580274051,-0.47454519624983954,-0.4736736092984604,-0.4902797934380587,-0.5609748304808925,0,0,1,0,0,1
16,1,0,1.7429266058581694,-0.47454519624983954,-0.4736736092984604,-0.3262666585535892,-0.5609748304808925,0,1,0,0,0,1
17,0,1,-1.9081361840426954,3.1548090514635256,0.7676298785983874,-0.06199888922968463,2.5396987052416584,0,0,1,0,1,0
19,0,0,0.08961515382758917,0.4327933656785018,-0.4736736092984604,-0.2859972841804228,0.059159876663617626,0,0,1,0,0,1
21,0,1,0.36516706249935255,-0.47454519624983954,-0.4736736092984604,-0.12491978668775715,-0.5609748304808925,0,1,0,0,0,1
22,1,1,0.2962790853314117,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,-0.5609748304808925,0,1,0,0,0,1
23,1,0,-1.0125924808594644,-0.47454519624983954,-0.4736736092984604,-0.4867562231804066,-0.5609748304808925,0,0,1,0,1,0
24,1,1,-0.11704877767623337,-0.47454519624983954,-0.4736736092984604,0.06635974158478332,-0.5609748304808925,1,0,0,0,0,1
25,0,0,-1.4948083210350502,2.2474704895351842,0.7676298785983874,-0.22408312108167944,1.9195639980971482,0,0,1,0,0,1
26,1,0,0.571830994003175,0.4327933656785018,5.73284383018578,-0.016444159470040135,3.1598334123861687,0,0,1,0,0,1
28,0,1,-0.7370405721877009,2.2474704895351842,2.0089333664952354,4.647001076532463,2.5396987052416584,1,0,0,0,0,1
31,0,1,0.7096069483390568,-0.47454519624983954,-0.4736736092984604,-0.09027201697708476,-0.5609748304808925,1,0,0,1,0,0
34,0,1,2.500694354705519,-0.47454519624983954,-0.4736736092984604,-0.43700743807979686,-0.5609748304808925,0,1,0,0,0,1
35,0,1,-0.11704877767623337,0.4327933656785018,-0.4736736092984604,1.0060617003323709,0.059159876663617626,1,0,0,1,0,0
36,0,1,0.8473829026749384,0.4327933656785018,-0.4736736092984604,0.39858208016340624,0.059159876663617626,1,0,0,0,0,1
38,0,1,-0.5992646178518193,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,-0.5609748304808925,0,0,1,0,0,1
39,0,0,-0.8059285493556418,1.340131927606843,-0.4736736092984604,-0.2859972841804228,0.6792945838081278,0,0,1,0,0,1
40,1,0,-1.0814804580274051,0.4327933656785018,-0.4736736092984604,-0.42207354059350805,0.059159876663617626,0,0,1,1,0,0
41,0,0,0.7096069483390568,0.4327933656785018,-0.4736736092984604,-0.4576454924460446,0.059159876663617626,0,0,1,0,0,1
42,0,0,-0.1859367548441742,0.4327933656785018,-0.4736736092984604,-0.22559322262067316,0.059159876663617626,0,1,0,0,0,1
44,1,0,-1.8392482068747544,0.4327933656785018,2.0089333664952354,0.18876253192945994,1.299429290952638,0,1,0,1,0,0
45,1,0,-0.7370405721877009,-0.47454519624983954,-0.4736736092984604,-0.48977642625839407,-0.5609748304808925,0,0,1,0,1,0
50,0,0,-0.8059285493556418,0.4327933656785018,-0.4736736092984604,-0.29002422161773944,0.059159876663617626,0,0,1,0,0,1
51,0,1,-1.5636962982029912,3.1548090514635256,0.7676298785983874,0.1506737441786005,2.5396987052416584,0,0,1,0,0,1
52,0,1,-0.5992646178518193,-0.47454519624983954,-0.4736736092984604,-0.4913710934835715,-0.5609748304808925,0,0,1,0,0,1
53,1,0,1.3295987428505243,0.4327933656785018,-0.4736736092984604,0.8964967865378598,0.059159876663617626,1,0,0,1,0,0
54,1,0,-0.04816080050829252,0.4327933656785018,-0.4736736092984604,-0.12491978668775715,0.059159876663617626,0,1,0,0,0,1
55,0,1,2.431806377537578,-0.47454519624983954,0.7676298785983874,0.5995101505357573,0.059159876663617626,1,0,0,1,0,0
57,1,0,-0.5992646178518193,-0.47454519624983954,-0.4736736092984604,-0.43700743807979686,-0.5609748304808925,0,1,0,0,0,1
58,0,1,-0.08260478909226295,-0.47454519624983954,-0.4736736092984604,-0.5028639729296732,-0.5609748304808925,0,0,1,1,0,0
59,1,0,-1.7014722525388728,0.4327933656785018,2.0089333664952354,-0.08968408411123653,1.299429290952638,0,1,0,0,0,1
60,0,1,-1.2881443895312277,4.0621476133918675,2.0089333664952354,0.2958951755118318,3.779968119530679,0,0,1,0,0,1
61,0,1,-0.5303766406838785,-0.47454519624983954,-0.4736736092984604,-0.5028639729296732,-0.5609748304808925,0,0,1,1,0,0
63,0,1,1.054046834178761,0.4327933656785018,-0.4736736092984604,1.0323213593611125,0.059159876663617626,1,0,0,0,0,1
64,0,1,-1.7703602297068137,2.2474704895351842,2.0089333664952354,-0.08666388103324908,2.5396987052416584,0,0,1,0,0,1
67,1,0,-0.04816080050829252,-0.47454519624983954,-0.4736736092984604,-0.43700743807979686,-0.5609748304808925,0,1,0,0,0,1
68,0,1,-0.7370405721877009,-0.47454519624983954,-0.4736736092984604,-0.4841568350646187,-0.5609748304808925,0,0,1,0,0,1
69,1,0,-0.8748165265235827,3.1548090514635256,2.0089333664952354,-0.4888542575852486,3.1598334123861687,0,0,1,0,0,1
70,0,1,-0.25482473201211503,1.340131927606843,-0.4736736092984604,-0.47400492578514347,0.6792945838081278,0,0,1,0,0,1
71,0,1,0.15850313099553,-0.47454519624983954,-0.4736736092984604,-0.43700743807979686,-0.5609748304808925,0,1,0,0,0,1
72,0,0,-0.9437045036915235,4.0621476133918675,2.0089333664952354,0.2958951755118318,3.779968119530679,0,0,1,0,0,1
73,0,1,-0.5992646178518193,-0.47454519624983954,-0.4736736092984604,0.8314778546749452,-0.5609748304808925,0,1,0,0,0,1
74,0,1,-0.25482473201211503,0.4327933656785018,-0.4736736092984604,-0.3573908580066095,0.059159876663617626,0,0,1,1,0,0
75,1,1,0.15850313099553,-0.47454519624983954,-0.4736736092984604,0.48910360681684706,-0.5609748304808925,0,0,1,0,0,1
76,0,1,-0.3237127091800559,-0.47454519624983954,-0.4736736092984604,-0.494391296561559,-0.5609748304808925,0,0,1,0,0,1
79,1,1,-1.9887351173291863,-0.47454519624983954,2.0089333664952354,-0.06451572512800753,0.6792945838081278,0,1,0,0,0,1
80,1,0,0.020727176659648322,-0.47454519624983954,-0.4736736092984604,-0.397241430886295,-0.5609748304808925,0,0,1,0,0,1
81,0,1,-0.5303766406838785,-0.47454519624983954,-0.4736736092984604,-0.46720946885967163,-0.5609748304808925,0,0,1,0,0,1
82,1,1,-0.04816080050829252,-0.47454519624983954,-0.4736736092984604,-0.45714212526638004,-0.5609748304808925,0,0,1,0,0,1
84,0,1,-0.11704877767623337,-0.47454519624983954,-0.4736736092984604,0.29992211294914856,-0.5609748304808925,1,0,0,0,0,1
85,1,0,-0.8748165265235827,-0.47454519624983954,-0.4736736092984604,-0.43700743807979686,-0.5609748304808925,0,1,0,0,0,1
86,1,0,0.22739110816347086,2.2474704895351842,-0.4736736092984604,-0.32928686163157667,1.299429290952638,0,0,1,0,0,1
87,0,1,-0.9437045036915235,0.4327933656785018,3.250236854392083,0.04370821849987721,1.9195639980971482,0,0,1,0,0,1
89,1,0,-0.4614886635159376,2.2474704895351842,2.0089333664952354,4.647001076532463,2.5396987052416584,1,0,0,0,0,1
90,0,1,-0.3926006863479967,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,-0.5609748304808925,0,0,1,0,0,1
91,0,1,-0.04816080050829252,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,-0.5609748304808925,0,0,1,0,0,1
92,0,1,-0.6681525950197601,-0.47454519624983954,-0.4736736092984604,-0.4902797934380587,-0.5609748304808925,0,0,1,0,0,1
93,0,1,1.122934811346702,0.4327933656785018,-0.4736736092984604,0.5833178351003071,0.059159876663617626,1,0,0,0,0,1
94,0,1,-0.25482473201211503,0.4327933656785018,2.0089333664952354,-0.23415046467497105,1.299429290952638,0,0,1,0,0,1
95,0,1,2.018478514529933,-0.47454519624983954,-0.4736736092984604,-0.5024451714361923,-0.5609748304808925,0,0,1,0,0,1
97,0,1,2.845134240545223,-0.47454519624983954,-0.4736736092984604,0.0493298231623713,-0.5609748304808925,1,0,0,1,0,0
98,1,1,-0.4614886635159376,-0.47454519624983954,0.7676298785983874,0.6272778976347743,0.059159876663617626,1,0,0,1,0,0
99,1,0,0.2962790853314117,-0.47454519624983954,0.7676298785983874,-0.18532384824750675,0.059159876663617626,0,1,0,0,0,1
100,0,1,0.2962790853314117,0.4327933656785018,-0.4736736092984604,-0.12491978668775715,0.059159876663617626,0,1,0,0,0,1
101,0,0,-0.11704877767623337,-0.47454519624983954,-0.4736736092984604,-0.4894421904510968,-0.5609748304808925,0,0,1,0,0,1
103,0,1,-0.5992646178518193,-0.47454519624983954,0.7676298785983874,0.907737982394129,0.059159876663617626,1,0,0,0,0,1
104,0,1,0.22739110816347086,-0.47454519624983954,-0.4736736092984604,-0.4741720436887921,-0.5609748304808925,0,0,1,0,0,1
105,0,1,0.5029430168352342,1.340131927606843,-0.4736736092984604,-0.4888542575852486,0.6792945838081278,0,0,1,0,0,1
106,0,1,-0.11704877767623337,-0.47454519624983954,-0.4736736092984604,-0.4894421904510968,-0.5609748304808925,0,0,1,0,0,1
107,1,0,-0.5992646178518193,-0.47454519624983954,-0.4736736092984604,-0.494391296561559,-0.5609748304808925,0,0,1,0,0,1
109,0,1,0.571830994003175,-0.47454519624983954,-0.4736736092984604,-0.4894421904510968,-0.5609748304808925,0,0,1,0,0,1
111,0,1,1.1918227885146426,-0.47454519624983954,-0.4736736092984604,0.39858208016340624,-0.5609748304808925,1,0,0,0,0,1
112,0,0,-1.0470364694434349,0.4327933656785018,-0.4736736092984604,-0.3573908580066095,0.059159876663617626,0,0,1,1,0,0
113,0,1,-0.5303766406838785,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,-0.5609748304808925,0,0,1,0,0,1
114,0,0,-0.6681525950197601,0.4327933656785018,-0.4736736092984604,-0.4505983519307405,0.059159876663617626,0,0,1,0,0,1
115,0,0,-0.8748165265235827,-0.47454519624983954,-0.4736736092984604,-0.3573083057891445,-0.5609748304808925,0,0,1,1,0,0
116,0,1,-0.5992646178518193,-0.47454519624983954,-0.4736736092984604,-0.4888542575852486,-0.5609748304808925,0,0,1,0,0,1
117,0,1,2.8106902519612524,-0.47454519624983954,-0.4736736092984604,-0.49237782784290063,-0.5609748304808925,0,0,1,0,1,0
118,0,1,-0.04816080050829252,0.4327933656785018,-0.4736736092984604,-0.22559322262067316,0.059159876663617626,0,1,0,0,0,1
119,0,1,-0.3926006863479967,-0.47454519624983954,0.7676298785983874,4.335332226633905,0.059159876663617626,1,0,0,1,0,0
120,0,0,-1.9081361840426954,3.1548090514635256,2.0089333664952354,-0.01870931177853076,3.1598334123861687,0,0,1,0,0,1
121,0,1,-0.5992646178518193,1.340131927606843,-0.4736736092984604,0.8314778546749452,0.6792945838081278,0,1,0,0,0,1
123,0,1,0.19294711957950042,0.4327933656785018,-0.4736736092984604,-0.04295550208861426,0.059159876663617626,0,1,0,1,0,0
124,1,0,0.19294711957950042,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,-0.5609748304808925,0,1,0,0,0,1
125,0,1,1.6740386286902287,-0.47454519624983954,0.7676298785983874,0.907737982394129,0.059159876663617626,1,0,0,0,0,1
126,1,1,-1.219256412363287,0.4327933656785018,-0.4736736092984604,-0.42207354059350805,0.059159876663617626,0,0,1,1,0,0
128,1,1,-0.3926006863479967,-0.47454519624983954,-0.4736736092984604,-0.5046257580584992,-0.5609748304808925,0,0,1,0,0,1
130,0,1,1.054046834178761,-0.47454519624983954,-0.4736736092984604,-0.5079822104125026,-0.5609748304808925,0,0,1,0,0,1
131,0,1,0.22739110816347086,-0.47454519624983954,-0.4736736092984604,-0.4894421904510968,-0.5609748304808925,0,0,1,1,0,0
132,0,1,-0.6681525950197601,-0.47454519624983954,-0.4736736092984604,-0.5064721088735089,-0.5609748304808925,0,0,1,0,0,1
133,0,0,1.1918227885146426,0.4327933656785018,-0.4736736092984604,-0.35646868933346404,0.059159876663617626,0,0,1,0,0,1
134,1,0,-0.04816080050829252,0.4327933656785018,-0.4736736092984604,-0.12491978668775715,0.059159876663617626,0,1,0,0,0,1
135,0,1,-0.3237127091800559,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,-0.5609748304808925,0,1,0,0,0,1
136,0,1,-0.4614886635159376,-0.47454519624983954,-0.4736736092984604,-0.3454791770670269,-0.5609748304808925,0,1,0,1,0,0
137,1,0,-0.7370405721877009,-0.47454519624983954,2.0089333664952354,-0.11921562980779811,0.6792945838081278,1,0,0,0,0,1
138,0,1,0.5029430168352342,0.4327933656785018,-0.4736736092984604,0.4207302360686478,0.059159876663617626,1,0,0,0,0,1
139,0,1,-0.9437045036915235,-0.47454519624983954,-0.4736736092984604,-0.4628462821463391,-0.5609748304808925,0,0,1,0,0,1
140,0,1,-0.3926006863479967,-0.47454519624983954,-0.4736736092984604,0.9462455716384695,-0.5609748304808925,1,0,0,1,0,0
142,1,0,-0.5303766406838785,-0.47454519624983954,-0.4736736092984604,-0.49237782784290063,-0.5609748304808925,0,0,1,0,0,1
143,1,0,-0.3926006863479967,0.4327933656785018,-0.4736736092984604,-0.32928686163157667,0.059159876663617626,0,0,1,0,0,1
144,0,1,-0.7370405721877009,-0.47454519624983954,-0.4736736092984604,-0.5125125150294839,-0.5609748304808925,0,0,1,0,1,0
145,0,1,-0.8059285493556418,-0.47454519624983954,-0.4736736092984604,-0.41687275089321363,-0.5609748304808925,0,1,0,0,0,1
146,0,1,-0.7370405721877009,0.4327933656785018,0.7676298785983874,0.09152810056801232,0.6792945838081278,0,1,0,0,0,1
147,1,1,-0.1859367548441742,-0.47454519624983954,-0.4736736092984604,-0.49145565916975514,-0.5609748304808925,0,0,1,0,0,1
148,0,0,-1.4259203438671093,1.340131927606843,2.0089333664952354,0.04370821849987721,1.9195639980971482,0,0,1,0,0,1
149,0,1,0.4684990282512638,-0.47454519624983954,2.0089333664952354,-0.12491978668775715,0.6792945838081278,0,1,0,0,0,1
150,0,1,0.8473829026749384,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,-0.5609748304808925,0,1,0,0,0,1
151,0,1,1.4673746971864061,-0.47454519624983954,-0.4736736092984604,-0.39623469652696586,-0.5609748304808925,0,1,0,0,0,1
152,1,0,-0.5303766406838785,0.4327933656785018,-0.4736736092984604,0.6925485130875209,0.059159876663617626,1,0,0,0,0,1
153,0,1,1.7773705944421399,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,-0.5609748304808925,0,0,1,0,0,1
154,0,1,0.7440509369230272,-0.47454519624983954,2.0089333664952354,-0.35646868933346404,0.6792945838081278,0,0,1,0,0,1
156,0,1,1.4673746971864061,-0.47454519624983954,0.7676298785983874,0.5874293382238074,0.059159876663617626,1,0,0,1,0,0
157,1,0,-0.9437045036915235,-0.47454519624983954,-0.4736736092984604,-0.49271407711891657,-0.5609748304808925,0,0,1,0,1,0
158,0,1,0.020727176659648322,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,-0.5609748304808925,0,0,1,0,0,1
161,0,1,0.9851588570108202,-0.47454519624983954,0.7676298785983874,-0.32425318983493084,0.059159876663617626,0,0,1,0,0,1
162,1,0,0.7096069483390568,-0.47454519624983954,-0.4736736092984604,-0.331300330350235,-0.5609748304808925,0,1,0,0,0,1
163,0,1,-0.25482473201211503,-0.47454519624983954,-0.4736736092984604,-0.4918744606632361,-0.5609748304808925,0,0,1,0,0,1
164,0,1,-0.8748165265235827,-0.47454519624983954,-0.4736736092984604,-0.47400492578514347,-0.5609748304808925,0,0,1,0,0,1
165,0,1,-1.977024161210636,3.1548090514635256,0.7676298785983874,0.1506737441786005,2.5396987052416584,0,0,1,0,0,1
166,1,1,-1.4259203438671093,-0.47454519624983954,2.0089333664952354,-0.2351571990343002,0.6792945838081278,0,0,1,0,0,1
168,0,0,1.054046834178761,0.4327933656785018,4.491540342288931,-0.08666388103324908,2.5396987052416584,0,0,1,0,0,1
170,0,1,-0.11704877767623337,-0.47454519624983954,-0.4736736092984604,0.48910360681684706,-0.5609748304808925,0,0,1,0,0,1
171,0,1,2.1562544688658143,-0.47454519624983954,-0.4736736092984604,0.026090367211616904,-0.5609748304808925,1,0,0,0,0,1
172,0,1,-1.7703602297068137,3.1548090514635256,0.7676298785983874,-0.06199888922968463,2.5396987052416584,0,0,1,0,1,0
173,1,0,-1.977024161210636,0.4327933656785018,0.7676298785983874,-0.4242561406845337,0.6792945838081278,0,0,1,0,0,1
174,0,1,-0.5992646178518193,-0.47454519624983954,-0.4736736092984604,-0.4888542575852486,-0.5609748304808925,0,0,1,0,0,1
175,0,1,1.8118145830261103,-0.47454519624983954,-0.4736736092984604,-0.030371322596999754,-0.5609748304808925,1,0,0,1,0,0
176,0,1,-0.8059285493556418,0.4327933656785018,0.7676298785983874,-0.4902797934380587,0.6792945838081278,0,0,1,0,0,1
178,0,0,1.3984867200184652,-0.47454519624983954,-0.4736736092984604,-0.07030444769415023,-0.5609748304808925,1,0,0,1,0,0
179,0,1,0.020727176659648322,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,-0.5609748304808925,0,1,0,0,0,1
180,0,1,0.43405503966729336,-0.47454519624983954,-0.4736736092984604,-0.6484216535389205,-0.5609748304808925,0,0,1,0,0,1
183,0,1,-1.4259203438671093,3.1548090514635256,2.0089333664952354,-0.016444159470040135,3.1598334123861687,0,0,1,0,0,1
184,1,1,-1.977024161210636,1.340131927606843,0.7676298785983874,0.13683114673782454,1.299429290952638,0,1,0,0,0,1
185,1,0,-1.7703602297068137,-0.47454519624983954,2.0089333664952354,-0.20495516825442542,0.6792945838081278,0,0,1,0,0,1
188,1,1,1.054046834178761,-0.47454519624983954,-0.4736736092984604,-0.11384570873513637,-0.5609748304808925,1,0,0,0,0,1
189,0,1,0.7096069483390568,0.4327933656785018,0.7676298785983874,-0.3363340021468808,0.6792945838081278,0,0,1,0,1,0
190,0,1,0.43405503966729336,-0.47454519624983954,-0.4736736092984604,-0.4894421904510968,-0.5609748304808925,0,0,1,0,0,1
191,1,0,0.15850313099553,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,-0.5609748304808925,0,1,0,0,0,1
192,0,1,-0.7370405721877009,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,-0.5609748304808925,0,1,0,0,0,1
193,1,0,-0.7370405721877009,0.4327933656785018,-0.4736736092984604,-0.4902797934380587,0.059159876663617626,0,0,1,0,0,1
194,1,1,-1.8392482068747544,0.4327933656785018,0.7676298785983874,-0.12491978668775715,0.6792945838081278,0,1,0,0,0,1
195,1,0,0.9851588570108202,-0.47454519624983954,-0.4736736092984604,-0.09027201697708476,-0.5609748304808925,1,0,0,1,0,0
196,1,0,1.949590537361992,-0.47454519624983954,-0.4736736092984604,2.301728820789,-0.5609748304808925,1,0,0,1,0,0
198,0,1,0.8473829026749384,-0.47454519624983954,0.7676298785983874,-0.47920571548543794,0.059159876663617626,0,0,1,0,0,1
200,0,0,-0.3926006863479967,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,-0.5609748304808925,0,1,0,0,0,1
201,0,1,-0.11704877767623337,-0.47454519624983954,-0.4736736092984604,-0.45714212526638004,-0.5609748304808925,0,0,1,0,0,1
203,0,1,0.2962790853314117,-0.47454519624983954,-0.4736736092984604,-0.5176307525123133,-0.5609748304808925,0,0,1,0,0,1
204,0,1,1.0884908227627315,-0.47454519624983954,-0.4736736092984604,-0.5029485386158568,-0.5609748304808925,0,0,1,1,0,0
205,1,1,-0.8059285493556418,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,-0.5609748304808925,0,0,1,0,0,1
206,0,0,-1.9081361840426954,-0.47454519624983954,0.7676298785983874,-0.43776248884929375,0.059159876663617626,0,0,1,0,0,1
207,0,1,0.15850313099553,0.4327933656785018,-0.4736736092984604,-0.32928686163157667,0.059159876663617626,0,0,1,0,0,1
208,1,1,-0.25482473201211503,-0.47454519624983954,-0.4736736092984604,-0.2701412180209885,-0.5609748304808925,0,0,1,1,0,0
209,1,0,-0.9437045036915235,-0.47454519624983954,-0.4736736092984604,-0.49237782784290063,-0.5609748304808925,0,0,1,0,1,0
210,1,1,0.7096069483390568,-0.47454519624983954,-0.4736736092984604,-0.024246350754841113,-0.5609748304808925,1,0,0,1,0,0
211,0,1,-0.3926006863479967,-0.47454519624983954,-0.4736736092984604,-0.5064721088735089,-0.5609748304808925,0,0,1,0,0,1
212,1,0,0.36516706249935255,-0.47454519624983954,-0.4736736092984604,-0.22559322262067316,-0.5609748304808925,0,1,0,0,0,1
213,0,1,-0.5303766406838785,-0.47454519624983954,-0.4736736092984604,-0.5024451714361923,-0.5609748304808925,0,0,1,0,0,1
214,0,1,0.020727176659648322,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,-0.5609748304808925,0,1,0,0,0,1
216,1,0,0.08961515382758917,0.4327933656785018,-0.4736736092984604,1.6323350375212924,0.059159876663617626,1,0,0,1,0,0
217,1,0,-0.1859367548441742,-0.47454519624983954,-0.4736736092984604,-0.4888542575852486,-0.5609748304808925,0,0,1,0,0,1
218,0,1,0.8473829026749384,0.4327933656785018,-0.4736736092984604,-0.10478509950117394,0.059159876663617626,0,1,0,0,0,1
219,1,0,0.15850313099553,-0.47454519624983954,-0.4736736092984604,0.8876878608937296,-0.5609748304808925,1,0,0,1,0,0
220,0,1,0.020727176659648322,-0.47454519624983954,-0.4736736092984604,-0.43700743807979686,-0.5609748304808925,0,1,0,0,0,1
221,1,1,-0.9437045036915235,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,-0.5609748304808925,0,0,1,0,0,1
